user_id,product_id,action,timestamp,behavior_score,category,session_id
493,23,search,2024-03-22 00:11:00,0.3,Beauty,sess_493_20240322
456,443,review,2024-03-22 00:34:00,0.6,Fashion,sess_456_20240322
314,257,wishlist,2024-03-22 00:42:00,0.5,Garden,sess_314_20240322
52,150,search,2024-03-22 00:43:00,0.3,Electronics,sess_52_20240322
417,450,click,2024-03-22 00:59:00,0.4,Electronics,sess_417_20240322
116,676,click,2024-03-22 01:24:00,0.4,Clothing,sess_116_20240322
245,270,view,2024-03-22 01:27:00,0.2,Home,sess_245_20240322
357,10,review,2024-03-22 01:30:00,0.6,Beauty,sess_357_20240322
482,544,wishlist,2024-03-22 01:41:00,0.5,Books,sess_482_20240322
372,326,view,2024-03-22 01:44:00,0.2,Automotive,sess_372_20240322
167,741,review,2024-03-22 01:53:00,0.6,Automotive,sess_167_20240322
15,912,search,2024-03-22 02:13:00,0.3,Home,sess_15_20240322
380,607,purchase,2024-03-22 02:14:00,1.0,Clothing,sess_380_20240322
18,944,wishlist,2024-03-22 02:18:00,0.5,Electronics,sess_18_20240322
291,812,click,2024-03-22 02:34:00,0.4,Books,sess_291_20240322
185,946,click,2024-03-22 02:47:00,0.4,Electronics,sess_185_20240322
140,768,review,2024-03-22 02:50:00,0.6,Clothing,sess_140_20240322
114,248,review,2024-03-22 02:52:00,0.6,Automotive,sess_114_20240322
341,484,wishlist,2024-03-22 03:16:00,0.5,Fashion,sess_341_20240322
90,272,wishlist,2024-03-22 03:27:00,0.5,Sports,sess_90_20240322
416,662,add_to_cart,2024-03-22 03:50:00,0.7,Automotive,sess_416_20240322
140,392,view,2024-03-22 03:56:00,0.2,Books,sess_140_20240322
419,945,search,2024-03-22 04:16:00,0.3,Automotive,sess_419_20240322
131,521,click,2024-03-22 04:37:00,0.4,Garden,sess_131_20240322
84,912,add_to_cart,2024-03-22 04:42:00,0.7,Sports,sess_84_20240322
5,327,view,2024-03-22 04:54:00,0.2,Sports,sess_5_20240322
352,958,purchase,2024-03-22 05:05:00,1.0,Clothing,sess_352_20240322
117,438,share,2024-03-22 05:17:00,0.5,Books,sess_117_20240322
37,556,search,2024-03-22 05:24:00,0.3,Automotive,sess_37_20240322
206,305,review,2024-03-22 06:10:00,0.6,Automotive,sess_206_20240322
276,819,purchase,2024-03-22 06:32:00,1.0,Electronics,sess_276_20240322
382,48,click,2024-03-22 06:41:00,0.4,Toys,sess_382_20240322
90,651,wishlist,2024-03-22 07:12:00,0.5,Garden,sess_90_20240322
252,442,add_to_cart,2024-03-22 07:16:00,0.7,Toys,sess_252_20240322
221,380,wishlist,2024-03-22 07:23:00,0.5,Home,sess_221_20240322
410,334,wishlist,2024-03-22 07:27:00,0.5,Clothing,sess_410_20240322
316,713,view,2024-03-22 08:11:00,0.2,Fashion,sess_316_20240322
377,778,review,2024-03-22 09:26:00,0.6,Sports,sess_377_20240322
141,470,purchase,2024-03-22 09:28:00,1.0,Clothing,sess_141_20240322
401,747,view,2024-03-22 09:29:00,0.2,Clothing,sess_401_20240322
77,751,click,2024-03-22 09:59:00,0.4,Beauty,sess_77_20240322
405,650,click,2024-03-22 10:00:00,0.4,Home,sess_405_20240322
83,407,wishlist,2024-03-22 10:16:00,0.5,Electronics,sess_83_20240322
88,938,add_to_cart,2024-03-22 10:24:00,0.7,Clothing,sess_88_20240322
332,282,review,2024-03-22 10:41:00,0.6,Toys,sess_332_20240322
497,784,wishlist,2024-03-22 10:56:00,0.5,Home,sess_497_20240322
388,215,click,2024-03-22 10:58:00,0.4,Garden,sess_388_20240322
390,518,review,2024-03-22 11:05:00,0.6,Sports,sess_390_20240322
488,338,click,2024-03-22 11:12:00,0.4,Fashion,sess_488_20240322
500,356,wishlist,2024-03-22 11:50:00,0.5,Garden,sess_500_20240322
395,372,click,2024-03-22 11:59:00,0.4,Sports,sess_395_20240322
98,499,review,2024-03-22 12:09:00,0.6,Toys,sess_98_20240322
470,955,search,2024-03-22 12:12:00,0.3,Sports,sess_470_20240322
85,338,search,2024-03-22 12:16:00,0.3,Clothing,sess_85_20240322
178,923,share,2024-03-22 12:16:00,0.5,Automotive,sess_178_20240322
393,207,purchase,2024-03-22 12:21:00,1.0,Sports,sess_393_20240322
371,172,view,2024-03-22 12:37:00,0.2,Toys,sess_371_20240322
434,872,click,2024-03-22 12:50:00,0.4,Automotive,sess_434_20240322
156,63,purchase,2024-03-22 13:01:00,1.0,Home,sess_156_20240322
140,82,review,2024-03-22 13:02:00,0.6,Fashion,sess_140_20240322
224,391,search,2024-03-22 13:03:00,0.3,Toys,sess_224_20240322
115,865,purchase,2024-03-22 13:07:00,1.0,Home,sess_115_20240322
73,99,purchase,2024-03-22 13:08:00,1.0,Beauty,sess_73_20240322
187,956,view,2024-03-22 13:36:00,0.2,Garden,sess_187_20240322
365,352,wishlist,2024-03-22 13:51:00,0.5,Sports,sess_365_20240322
181,988,view,2024-03-22 14:17:00,0.2,Toys,sess_181_20240322
390,378,add_to_cart,2024-03-22 15:07:00,0.7,Books,sess_390_20240322
336,206,view,2024-03-22 15:13:00,0.2,Toys,sess_336_20240322
3,60,click,2024-03-22 15:22:00,0.4,Garden,sess_3_20240322
121,567,add_to_cart,2024-03-22 15:29:00,0.7,Home,sess_121_20240322
348,185,view,2024-03-22 15:42:00,0.2,Garden,sess_348_20240322
28,841,add_to_cart,2024-03-22 15:48:00,0.7,Home,sess_28_20240322
